utilization.gpu [%], memory.used [MiB]
9 %, 1538 MiB
8 %, 1538 MiB
8 %, 1542 MiB
8 %, 1538 MiB
8 %, 1551 MiB
8 %, 1551 MiB
6 %, 1541 MiB
7 %, 1541 MiB
8 %, 1546 MiB
8 %, 1539 MiB
8 %, 1539 MiB
8 %, 1539 MiB
8 %, 1539 MiB
7 %, 1539 MiB
7 %, 1539 MiB
7 %, 1539 MiB
7 %, 1543 MiB
7 %, 1539 MiB
9 %, 1539 MiB
35 %, 1558 MiB
25 %, 1576 MiB
9 %, 1613 MiB
1 %, 1622 MiB
1 %, 1610 MiB
2 %, 1701 MiB
2 %, 1793 MiB
7 %, 1776 MiB
14 %, 1750 MiB
15 %, 1758 MiB
44 %, 1740 MiB
20 %, 1727 MiB
5 %, 1571 MiB
5 %, 1546 MiB
5 %, 1546 MiB
5 %, 1546 MiB
7 %, 1541 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1538 MiB
7 %, 1543 MiB
8 %, 1539 MiB
8 %, 1539 MiB
8 %, 1539 MiB
7 %, 1539 MiB
8 %, 1543 MiB
8 %, 1543 MiB
6 %, 1539 MiB
8 %, 1544 MiB
8 %, 1539 MiB
7 %, 1539 MiB
7 %, 1539 MiB
7 %, 1539 MiB
8 %, 1542 MiB
8 %, 1543 MiB
8 %, 1539 MiB
8 %, 1544 MiB
7 %, 1543 MiB
7 %, 1539 MiB
6 %, 1539 MiB
7 %, 1543 MiB
3 %, 1538 MiB
5 %, 1538 MiB
5 %, 1542 MiB
6 %, 1538 MiB
3 %, 1538 MiB
6 %, 1538 MiB
6 %, 1538 MiB
6 %, 1538 MiB
6 %, 1542 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1542 MiB
2 %, 1538 MiB
5 %, 1538 MiB
5 %, 1542 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1538 MiB
5 %, 1542 MiB
5 %, 1542 MiB
5 %, 1543 MiB
5 %, 1539 MiB
5 %, 1543 MiB
5 %, 1561 MiB
5 %, 1561 MiB
5 %, 1551 MiB
5 %, 1547 MiB
5 %, 1552 MiB
5 %, 1548 MiB
5 %, 1548 MiB
5 %, 1552 MiB
5 %, 1548 MiB
4 %, 1551 MiB
6 %, 1547 MiB
5 %, 1547 MiB
4 %, 1547 MiB
5 %, 1552 MiB
5 %, 1547 MiB
5 %, 1547 MiB
5 %, 1547 MiB
5 %, 1551 MiB
5 %, 1547 MiB
5 %, 1552 MiB
5 %, 1547 MiB
5 %, 1547 MiB
64 %, 1515 MiB
2 %, 1511 MiB
3 %, 1523 MiB
6 %, 1523 MiB
7 %, 1523 MiB
5 %, 1519 MiB
5 %, 1514 MiB
5 %, 1512 MiB
5 %, 1512 MiB
5 %, 1512 MiB
6 %, 1512 MiB
6 %, 1512 MiB
6 %, 1511 MiB
5 %, 1511 MiB
5 %, 1511 MiB
7 %, 1511 MiB
17 %, 1524 MiB
19 %, 1542 MiB
10 %, 1545 MiB
8 %, 1536 MiB
28 %, 1534 MiB
24 %, 1543 MiB
25 %, 1582 MiB
11 %, 1570 MiB
11 %, 1550 MiB
12 %, 1550 MiB
11 %, 1549 MiB
11 %, 1517 MiB
12 %, 1504 MiB
11 %, 1509 MiB
12 %, 1509 MiB
11 %, 1509 MiB
10 %, 1517 MiB
10 %, 1517 MiB
9 %, 1512 MiB
12 %, 1518 MiB
10 %, 1518 MiB
10 %, 1508 MiB
1 %, 1512 MiB
10 %, 1513 MiB
11 %, 1510 MiB
12 %, 1510 MiB
12 %, 1510 MiB
11 %, 1510 MiB
0 %, 1510 MiB
13 %, 1510 MiB
11 %, 1510 MiB
11 %, 1510 MiB
11 %, 1510 MiB
11 %, 1510 MiB
10 %, 1510 MiB
11 %, 1520 MiB
10 %, 1520 MiB
0 %, 1519 MiB
8 %, 1515 MiB
8 %, 1519 MiB
22 %, 1536 MiB
26 %, 1553 MiB
8 %, 1532 MiB
7 %, 1509 MiB
7 %, 1509 MiB
7 %, 1509 MiB
8 %, 1504 MiB
7 %, 1504 MiB
7 %, 1501 MiB
6 %, 1501 MiB
7 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
6 %, 1501 MiB
5 %, 1501 MiB
5 %, 1506 MiB
6 %, 1502 MiB
11 %, 1537 MiB
6 %, 1537 MiB
8 %, 1532 MiB
5 %, 1528 MiB
5 %, 1527 MiB
5 %, 1517 MiB
2 %, 1520 MiB
5 %, 1516 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
18 %, 1521 MiB
1 %, 1521 MiB
1 %, 1521 MiB
1 %, 1521 MiB
2 %, 1520 MiB
5 %, 1516 MiB
5 %, 1516 MiB
5 %, 1516 MiB
5 %, 1506 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1502 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
4 %, 1505 MiB
8 %, 1501 MiB
8 %, 1505 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
7 %, 1501 MiB
6 %, 1501 MiB
6 %, 1501 MiB
6 %, 1501 MiB
6 %, 1501 MiB
6 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
5 %, 1501 MiB
6 %, 1506 MiB
6 %, 1502 MiB
6 %, 1502 MiB
4 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
8 %, 1506 MiB
8 %, 1502 MiB
8 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
6 %, 1505 MiB
7 %, 1501 MiB
8 %, 1507 MiB
8 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
7 %, 1502 MiB
8 %, 1506 MiB
8 %, 1502 MiB
8 %, 1502 MiB
8 %, 1506 MiB
9 %, 1502 MiB
7 %, 1506 MiB
8 %, 1502 MiB
8 %, 1502 MiB
8 %, 1506 MiB
7 %, 1506 MiB
8 %, 1502 MiB
7 %, 1506 MiB
8 %, 1502 MiB
8 %, 1502 MiB
8 %, 1502 MiB
8 %, 1502 MiB
8 %, 1506 MiB
8 %, 1502 MiB
8 %, 1506 MiB
9 %, 1502 MiB
8 %, 1502 MiB
3 %, 1502 MiB
7 %, 1502 MiB
8 %, 1506 MiB
7 %, 1502 MiB
7 %, 1502 MiB
