timestamp,latency_ms_p95,tier
1786628018.623,NaN,balanced
1786628023.623,NaN,balanced
1786628028.623,NaN,balanced
1786628033.623,NaN,balanced
1786628038.623,NaN,balanced
1786628043.623,NaN,balanced
1786628048.623,NaN,balanced
1786628053.623,NaN,balanced
1786628058.623,NaN,balanced
1786628063.623,NaN,balanced
1786628068.623,NaN,balanced
1786628073.623,NaN,balanced
1786628078.623,NaN,balanced
1786628083.623,NaN,balanced
1786628088.623,NaN,balanced
1786628093.623,NaN,balanced
1786628098.623,NaN,balanced
1786628103.623,NaN,balanced
1786628108.623,NaN,balanced
1786628113.623,NaN,balanced
1786628118.623,NaN,balanced
1786628123.623,NaN,balanced
1786628128.623,NaN,balanced
1786628133.623,NaN,balanced
1786628138.623,NaN,balanced
1786628143.623,NaN,balanced
1786628148.623,NaN,balanced
1786628153.623,NaN,balanced
1786628158.623,NaN,balanced
1786628163.623,NaN,balanced
1786628168.623,NaN,balanced
1786628173.623,NaN,balanced
1786628178.623,NaN,balanced
1786628183.623,NaN,balanced
1786628188.623,NaN,balanced
1786628193.623,NaN,balanced
1786628198.623,NaN,balanced
1786628203.623,NaN,balanced
1786628208.623,NaN,balanced
1786628213.623,NaN,balanced
1786628218.623,NaN,balanced
1786628223.623,NaN,balanced
1786628228.623,NaN,balanced
1786628233.623,NaN,balanced
1786628238.623,NaN,balanced
1786628243.623,NaN,balanced
1786628248.623,NaN,balanced
1786628253.623,NaN,balanced
1786628258.623,NaN,balanced
1786628263.623,NaN,balanced
1786628268.623,NaN,balanced
1786628273.623,NaN,balanced
1786628278.623,NaN,balanced
1786628283.623,NaN,balanced
1786628288.623,NaN,balanced
1786628293.623,NaN,balanced
1786628298.623,NaN,balanced
1786628303.623,NaN,balanced
1786628308.623,NaN,balanced
1786628313.623,NaN,balanced
1786628318.623,NaN,balanced
1786628323.623,NaN,balanced
1786628328.623,NaN,balanced
1786628333.623,NaN,balanced
1786628338.623,NaN,balanced
1786628343.623,NaN,balanced
1786628348.623,NaN,balanced
1786628353.623,NaN,balanced
1786628358.623,NaN,balanced
1786628363.623,NaN,balanced
1786628368.623,NaN,balanced
1786628373.623,NaN,balanced
1786628378.623,NaN,balanced
1786628383.623,NaN,balanced
1786628388.623,NaN,balanced
1786628393.623,NaN,balanced
1786628398.623,NaN,balanced
1786628403.623,NaN,balanced
1786628408.623,NaN,balanced
1786628413.623,NaN,balanced
1786628418.623,NaN,balanced
1786628423.623,NaN,balanced
1786628428.623,NaN,balanced
1786628433.623,NaN,balanced
1786628438.623,NaN,balanced
1786628443.623,NaN,balanced
1786628448.623,NaN,balanced
1786628453.623,NaN,balanced
1786628458.623,NaN,balanced
1786628463.623,NaN,balanced
1786628468.623,NaN,balanced
1786628473.623,NaN,balanced
1786628478.623,NaN,balanced
1786628483.623,NaN,balanced
1786628488.623,NaN,balanced
1786628493.623,NaN,balanced
1786628498.623,NaN,balanced
1786628503.623,NaN,balanced
1786628508.623,NaN,balanced
1786628513.623,NaN,balanced
1786628518.623,NaN,balanced
1786628523.623,NaN,balanced
1786628528.623,NaN,balanced
1786628533.623,NaN,balanced
1786628538.623,NaN,balanced
1786628543.623,NaN,balanced
1786628548.623,NaN,balanced
1786628553.623,NaN,balanced
1786628558.623,NaN,balanced
1786628563.623,NaN,balanced
1786628568.623,NaN,balanced
1786628573.623,NaN,balanced
1786628578.623,NaN,balanced
1786628583.623,NaN,balanced
1786628588.623,NaN,balanced
1786628593.623,NaN,balanced
1786628598.623,NaN,balanced
1786628603.623,NaN,balanced
1786628608.623,NaN,balanced
1786628613.623,NaN,balanced
1786628618.623,NaN,balanced
1786628623.623,NaN,balanced
1786628628.623,NaN,balanced
1786628633.623,NaN,balanced
1786628638.623,NaN,balanced
1786628643.623,NaN,balanced
1786628648.623,NaN,balanced
1786628653.623,NaN,balanced
1786628658.623,NaN,balanced
1786628663.623,NaN,balanced
1786628668.623,NaN,balanced
1786628673.623,NaN,balanced
1786628678.623,NaN,balanced
1786628683.623,NaN,balanced
1786628688.623,NaN,balanced
1786628693.623,NaN,balanced
1786628698.623,NaN,balanced
1786628703.623,NaN,balanced
1786628708.623,NaN,balanced
1786628713.623,NaN,balanced
1786628718.623,NaN,balanced
1786628723.623,NaN,balanced
1786628728.623,NaN,balanced
1786628733.623,NaN,balanced
1786628738.623,NaN,balanced
1786628743.623,NaN,balanced
1786628748.623,NaN,balanced
1786628753.623,NaN,balanced
1786628758.623,NaN,balanced
1786628763.623,NaN,balanced
1786628768.623,NaN,balanced
1786628773.623,NaN,balanced
1786628778.623,NaN,balanced
1786628783.623,NaN,balanced
1786628788.623,NaN,balanced
1786628793.623,NaN,balanced
1786628798.623,NaN,balanced
1786628803.623,NaN,balanced
1786628808.623,NaN,balanced
1786628813.623,NaN,balanced
1786628818.623,NaN,balanced
1786628823.623,NaN,balanced
1786628828.623,NaN,balanced
1786628833.623,NaN,balanced
1786628838.623,NaN,balanced
1786628843.623,NaN,balanced
1786628848.623,NaN,balanced
1786628853.623,NaN,balanced
1786628858.623,NaN,balanced
1786628863.623,NaN,balanced
1786628868.623,NaN,balanced
1786628873.623,NaN,balanced
1786628878.623,NaN,balanced
1786628883.623,NaN,balanced
1786628888.623,NaN,balanced
1786628893.623,NaN,balanced
1786628898.623,NaN,balanced
1786628903.623,NaN,balanced
1786628908.623,NaN,balanced
1786628913.623,NaN,balanced
1786628918.623,NaN,balanced
1786628923.623,NaN,balanced
1786628928.623,NaN,balanced
1786628933.623,NaN,balanced
1786628938.623,NaN,balanced
1786628943.623,NaN,balanced
1786628948.623,NaN,balanced
1786628953.623,NaN,balanced
1786628958.623,NaN,balanced
1786628963.623,NaN,balanced
1786628968.623,NaN,balanced
1786628973.623,NaN,balanced
1786628978.623,NaN,balanced
1786628983.623,NaN,balanced
1786628988.623,NaN,balanced
1786629213.623,21.39592167622848,balanced
1786629218.623,23.239919743952655,balanced
1786629223.623,23.187653636189502,balanced
1786629228.623,23.207160093945188,balanced
1786629233.623,22.86712999595172,balanced
1786629238.623,22.744953169821784,balanced
1786629243.623,22.39890542388931,balanced
1786629248.623,22.434230050844707,balanced
1786629253.623,22.389098705287587,balanced
1786629258.623,22.47089384128941,balanced
1786629263.623,21.75735294117647,balanced
1786629268.623,22.182926829268286,balanced
1786629273.623,22.211538461538456,balanced
1786629278.623,22,balanced
1786629283.623,21.97857142857142,balanced
1786629288.623,22.5625,balanced
1786629293.623,22.695121951219512,balanced
1786629298.623,22.62790697674418,balanced
1786629303.623,22.616666666666667,balanced
1786629308.623,22.782608695652172,balanced
1786629313.623,22.841463414634145,balanced
1786629318.623,23.09756097560975,balanced
1786629323.623,23.02272727272727,balanced
1786629328.623,23.1,balanced
1786629333.623,23.275000000000002,balanced
1786629338.623,23.34375,balanced
1786629343.623,22.787499999999994,balanced
1786629348.623,22.461538461538456,balanced
1786629353.623,22.9,balanced
1786629358.623,22.937499999999996,balanced
1786629363.623,NaN,balanced
1786629368.623,NaN,balanced
1786629373.623,NaN,balanced
1786629378.623,NaN,balanced
1786629383.623,NaN,balanced
1786629388.623,NaN,balanced
1786629393.623,NaN,balanced
1786629398.623,NaN,balanced
1786629403.623,NaN,balanced
1786629408.623,NaN,balanced
1786629413.623,NaN,balanced
1786629418.623,NaN,balanced
1786629423.623,NaN,balanced
1786629428.623,NaN,balanced
1786629433.623,NaN,balanced
1786629438.623,NaN,balanced
1786629443.623,NaN,balanced
1786629448.623,NaN,balanced
1786629453.623,NaN,balanced
1786629458.623,NaN,balanced
1786629473.623,20.874999999999993,balanced
1786629478.623,21.812499999999996,balanced
1786629483.623,22.374999999999993,balanced
1786629488.623,21.999999999999996,balanced
1786629493.623,22.068181818181813,balanced
1786629498.623,22.230769230769226,balanced
1786629503.623,22.05,balanced
1786629508.623,22.39285714285714,balanced
